Airport ID,City,Country,Latitude,Longitude,Altitude,Altitude_BIN,Coord_X,Coord_Y,Coord_X_Nearest_End
9887,"Bau-Bau","Indonesia",-5.486880,122.569000,164,1,13622.141643,-609.803898,6377.353015
9888,"Kao","Indonesia",1.185280,127.896004,27,1,14214.177115,131.730303,5785.317543
9889,"Melonguane","Indonesia",4.006940,126.672997,3,1,14078.253914,445.325524,5921.240744
9890,"Sanggata","Indonesia",0.384700,117.543000,60,1,13063.559236,42.755002,6935.935423
9891,"Muara Bungo","Indonesia",-1.127800,102.135000,214,1,11351.136372,-125.342063,8648.358287
9892,"Selayar","Indonesia",-6.175100,120.436200,30,1,13385.105305,-686.291694,6614.389354
9897,"Illaga","Indonesia",-3.976480,137.622500,7989,2,15295.165862,-441.940243,4704.328796
9898,"Oksibil","Indonesia",-4.907100,140.627700,4315,2,15629.159449,-545.368006,4370.335209
9899,"Kokonau","Indonesia",-4.710750,136.435150,59,1,15163.205498,-523.545951,4836.289160
9901,"Clermont","Australia",-22.773100,147.621002,908,1,16406.384954,-2530.969428,3593.109705
9902,"Warrnambool","Australia",-38.295300,142.447006,242,1,15831.354515,-4256.084274,4168.140143
9904,"Richmond","Australia",-20.701900,143.115005,676,1,15905.594989,-2300.779317,4093.899670
9905,"Derby","Australia",-17.581400,123.828003,300,1,13762.065383,-1953.971391,6237.429275
9935,"Medan","Indonesia",3.642222,98.885278,23,1,10989.966963,404.791292,9009.527696
9937,"Kamloops","Canada",43.322102,-84.688004,754,1,-9412.102386,4814.755795,10579.167449
9938,"Asheboro","United States",35.654499,-79.894699,671,1,-8879.381455,3962.589523,11111.888381
9939,"Seosan","South Korea",36.703999,126.486000,39,1,14057.471338,4079.229432,5942.023320
9942,"Wallace","United States",34.717899,-78.003601,39,1,-8669.207552,3858.497183,11322.062284
9943,"Emporia","United States",36.686901,-77.482803,127,1,-8611.326844,4077.329195,11379.942991
10017,"El Monte","United States",34.086102,-118.035004,296,1,-13118.239850,3788.280141,6873.029986
10057,"Farah","Afghanistan",32.367001,62.182999,3083,1,6910.928651,3597.221692,13088.566008
10061,"Pasighat","India",28.066099,95.335602,477,1,10595.461078,3119.225721,9404.033581
10062,"Pineville","United States",37.600399,-81.559303,1783,1,-9064.383159,4178.854035,10926.886676
10069,"Kramatorsk","Ukraine",48.705601,37.628899,646,1,4182.021440,5413.070114,15817.473219
10080,"Kautokeino","Norway",69.040298,23.034000,1165,1,2559.965533,7673.039046,17439.529126
10089,"Marcq En Baroeul","France",50.687199,3.075560,69,1,341.813306,5633.302042,19657.681352
10096,"Kamsar","Guinea",10.651000,-14.533600,36,1,-1615.243295,1183.736758,18376.026541
10102,"Stinson","United States",29.337000,-98.471100,577,1,-10943.935802,3260.471792,9047.334034
10103,"Sallisaw","United States",35.438202,-94.802803,527,1,-10536.246592,3938.550571,9455.023243
10104,"Jasper","United States",30.885700,-94.034897,213,1,-10450.902608,3432.592111,9540.367228
10105,"El dorado springs","United States",37.856701,-93.999100,931,1,-10446.924168,4207.339056,9544.345668
10106,"Marfa","United States",30.371099,-104.017997,4849,2,-11560.409938,3375.400073,8430.859897
10107,"Alpine","United States",30.384199,-103.683998,4515,2,-11523.289784,3376.856004,8467.980052
